scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,0.0067927968999316165,0.007613403236836107,0.008570777296558012,0.008023706405288352,0.006838386140870754,0.006200136767722818,False,False,False,False,False,False
2,0.00697515386368817,0.007704581718714383,0.009664919079097334,0.008434009573740598,0.006929564622749031,0.006108958285844541,False,False,False,False,False,False
3,0.007157510827444723,0.00752222475495783,0.010941417825393207,0.009072258946888534,0.006747207658992478,0.006063369044905402,False,False,False,False,False,False
4,0.0072031000683838615,0.007294278550262138,0.011351720993845453,0.009300205151584227,0.006883975381809893,0.006017779803966264,False,False,False,False,False,False
5,0.007066332345566446,0.0072031000683838615,0.011260542511967175,0.01030316845224527,0.0072031000683838615,0.006017779803966264,False,False,False,False,False,False
6,0.006883975381809893,0.0072486893093229995,0.011078185548210622,0.010759060861636653,0.007294278550262138,0.005972190563027125,False,False,False,False,False,False
7,0.006929564622749031,0.007020743104627308,0.010622293138819239,0.010941417825393207,0.0072031000683838615,0.006017779803966264,False,False,False,False,False,False
8,0.0072031000683838615,0.00670161841805334,0.01002963300661044,0.011032596307271485,0.007385457032140415,0.006063369044905402,False,False,False,False,False,False
9,0.00752222475495783,0.0067927968999316165,0.009573740597219056,0.012263505812628219,0.007750170959653521,0.006063369044905402,False,False,False,False,False,False
10,0.007613403236836107,0.00697515386368817,0.00888990198313198,0.013767950763619786,0.007704581718714383,0.006063369044905402,False,False,False,False,False,False
11,0.00779576020059266,0.007157510827444723,0.008251652609984044,0.01504444950991566,0.00779576020059266,0.006108958285844541,False,False,False,False,False,False
12,0.008023706405288352,0.007066332345566446,0.007978117164349213,0.014451789377706862,0.008479598814679735,0.006063369044905402,False,False,False,False,False,False
13,0.008160474128105766,0.0072031000683838615,0.00806929564622749,0.01422384317301117,0.008844312742192842,0.006063369044905402,False,False,False,False,False,False
14,0.00811488488716663,0.0072486893093229995,0.0076589924777752455,0.014862092546159106,0.008570777296558012,0.006291315249601094,False,False,False,False,False,False
15,0.0076589924777752455,0.0072031000683838615,0.007613403236836107,0.015363574196489628,0.008160474128105766,0.006610439936175063,False,False,False,False,False,False
16,0.006883975381809893,0.007066332345566446,0.007567813995896969,0.014679735582402553,0.007841349441531798,0.006656029177114201,False,False,False,False,False,False
17,0.006245726008661956,0.006929564622749031,0.007613403236836107,0.01504444950991566,0.007476635514018692,0.00697515386368817,False,False,False,False,False,False
18,0.006245726008661956,0.006519261454296786,0.007704581718714383,0.014360610895828584,0.007385457032140415,0.007476635514018692,False,False,False,False,False,False
19,0.0063824937314793705,0.006200136767722818,0.007750170959653521,0.013767950763619786,0.007567813995896969,0.007932527923410076,False,False,False,False,False,False
20,0.006200136767722818,0.006291315249601094,0.007613403236836107,0.012856165944837019,0.007978117164349213,0.008206063369044905,False,False,False,False,False,False
21,0.006063369044905402,0.006245726008661956,0.007294278550262138,0.012217916571689082,0.00811488488716663,0.008616366537497151,False,False,False,False,False,False
22,0.006063369044905402,0.006428082972418509,0.006929564622749031,0.012035559607932528,0.0076589924777752455,0.009117848187827673,False,False,False,False,False,False
23,0.006017779803966264,0.0067927968999316165,0.0072031000683838615,0.011853202644175975,0.007431046273079553,0.009391383633462503,False,False,False,False,False,False
24,0.006017779803966264,0.006838386140870754,0.007613403236836107,0.011032596307271485,0.00779576020059266,0.009026669705949395,False,False,False,False,False,False
25,0.005881012081148849,0.0067927968999316165,0.00752222475495783,0.011078185548210622,0.00779576020059266,0.008570777296558012,False,False,False,False,False,False
26,0.005607476635514018,0.006747207658992478,0.007066332345566446,0.011534077957602007,0.007111921586505585,0.008297241850923183,False,False,False,False,False,False
27,0.005653065876453157,0.0067927968999316165,0.006838386140870754,0.011534077957602007,0.006883975381809893,0.007886938682470937,False,False,False,False,False,False
28,0.005789833599270572,0.00670161841805334,0.00697515386368817,0.010941417825393207,0.007111921586505585,0.007339867791201276,False,False,False,False,False,False
29,0.005881012081148849,0.006610439936175063,0.00697515386368817,0.010622293138819239,0.007020743104627308,0.007066332345566446,False,False,False,False,False,False
30,0.005972190563027125,0.00697515386368817,0.006838386140870754,0.010987007066332346,0.006656029177114201,0.007157510827444723,False,False,False,False,False,False
31,0.0059266013220879874,0.007431046273079553,0.006656029177114201,0.01139731023478459,0.006473672213357647,0.0072486893093229995,False,False,False,False,False,False
32,0.005972190563027125,0.007339867791201276,0.006519261454296786,0.011898791885115112,0.006519261454296786,0.0072486893093229995,False,False,False,False,False,False
33,0.006063369044905402,0.007066332345566446,0.006564850695235924,0.011807613403236836,0.006564850695235924,0.007066332345566446,False,False,False,False,False,False
34,0.006063369044905402,0.007066332345566446,0.0067927968999316165,0.010941417825393207,0.006656029177114201,0.006883975381809893,False,False,False,False,False,False
35,0.0063824937314793705,0.006929564622749031,0.0067927968999316165,0.010211989970366993,0.00670161841805334,0.0067927968999316165,False,False,False,False,False,False
36,0.006883975381809893,0.006656029177114201,0.006564850695235924,0.011351720993845453,0.006473672213357647,0.00670161841805334,False,False,False,False,False,False
