scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,0.023965383335182514,0.005880394985021635,0.006657050926439588,0.017197381559968934,0.008099411960501499,0.005880394985021635,False,False,False,False,False,False
2,0.024631088427826475,0.005547542438699656,0.0065461000776655945,0.01808498835016088,0.007433706867857539,0.005880394985021635,False,False,False,False,False,False
3,0.02452013757905248,0.005547542438699656,0.006435149228891601,0.01952734938422279,0.007433706867857539,0.005769444136247642,False,False,False,False,False,False
4,0.02374348163763453,0.006324198380117608,0.0065461000776655945,0.018417840896482858,0.008099411960501499,0.005769444136247642,False,False,False,False,False,False
5,0.02374348163763453,0.007322756019083546,0.006213247531343615,0.01675357816487296,0.00887606790191945,0.005769444136247642,False,False,False,False,False,False
6,0.0241872850327305,0.006878952623987573,0.005880394985021635,0.015533118828359036,0.009208920448241429,0.005769444136247642,False,False,False,False,False,False
7,0.02485299012537446,0.005880394985021635,0.005880394985021635,0.014756462886941085,0.009097969599467437,0.006102296682569622,False,False,False,False,False,False
8,0.024742039276600465,0.005214689892377677,0.006435149228891601,0.012648396760235216,0.009097969599467437,0.006324198380117608,False,False,False,False,False,False
9,0.023299678242538556,0.004881837346055697,0.006878952623987573,0.010096527238433375,0.009319871297015421,0.006324198380117608,False,False,False,False,False,False
10,0.021413513813380674,0.005214689892377677,0.006657050926439588,0.008987018750693443,0.009097969599467437,0.006435149228891601,False,False,False,False,False,False
11,0.02019305447686675,0.005880394985021635,0.006102296682569622,0.009097969599467437,0.008321313658049483,0.0069899034727615664,False,False,False,False,False,False
12,0.02019305447686675,0.006102296682569622,0.005991345833795628,0.00998557638965938,0.007766559414179518,0.0075446577166315325,False,False,False,False,False,False
13,0.019860201930544767,0.006324198380117608,0.005880394985021635,0.010762232331077332,0.00676800177521358,0.008099411960501499,False,False,False,False,False,False
14,0.018528791745256852,0.006102296682569622,0.00565849328747365,0.012204593365139243,0.005769444136247642,0.008654166204371464,False,False,False,False,False,False
15,0.016864529013646955,0.005547542438699656,0.0051037390436036835,0.012870298457783202,0.006102296682569622,0.008987018750693443,False,False,False,False,False,False
16,0.015755020525907024,0.004770886497281704,0.005214689892377677,0.013757905247975146,0.007322756019083546,0.009097969599467437,False,False,False,False,False,False
17,0.014645512038167092,0.004438033950959725,0.00565849328747365,0.014090757794297127,0.0075446577166315325,0.008987018750693443,False,False,False,False,False,False
18,0.013646954399201154,0.004438033950959725,0.005769444136247642,0.013979806945523133,0.0065461000776655945,0.008765117053145456,False,False,False,False,False,False
