scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,0.01886100487242626,0.005081992979514853,0.005867868182532614,0.012521611568082989,0.0062870016241420865,0.006234609943940902,False,False,False,False,False,False
2,0.017813171268402577,0.005081992979514853,0.00581547650233143,0.012993136689893645,0.006339393304343271,0.006234609943940902,False,False,False,False,False,False
3,0.016870121024781266,0.005029601299313669,0.005605909781526693,0.013464661811704302,0.006968093466757479,0.00607743490333735,False,False,False,False,False,False
4,0.01629381254256824,0.004977209619112485,0.0053963430607219575,0.012364436527479436,0.007334835228165767,0.005867868182532614,False,False,False,False,False,False
5,0.01566511238015403,0.005081992979514853,0.005448734740923142,0.010845077801645099,0.00749201026876932,0.005710693141929062,False,False,False,False,False,False
6,0.014774453816733903,0.005186776339917221,0.005605909781526693,0.009744852517420233,0.007334835228165767,0.005763084822130246,False,False,False,False,False,False
7,0.01409336197411851,0.005186776339917221,0.005710693141929062,0.009273327395609578,0.006968093466757479,0.005867868182532614,False,False,False,False,False,False
8,0.013883795253313774,0.004924817938911301,0.005710693141929062,0.00880180227379892,0.0068633101063551106,0.00581547650233143,False,False,False,False,False,False
9,0.013517053491905486,0.0048200345785089325,0.005658301461727877,0.007963535390579975,0.007125268507361031,0.005710693141929062,False,False,False,False,False,False
10,0.012835961649290092,0.004872426258710117,0.005605909781526693,0.008435060512390633,0.007072876827159847,0.005658301461727877,False,False,False,False,False,False
11,0.011788128045266412,0.004872426258710117,0.005291559700319589,0.008749410593597736,0.007020485146958663,0.005605909781526693,False,False,False,False,False,False
12,0.010845077801645099,0.005186776339917221,0.004924817938911301,0.008854193954000104,0.0068633101063551106,0.0053963430607219575,False,False,False,False,False,False
13,0.010321160999633257,0.005291559700319589,0.005029601299313669,0.00801592707078116,0.006339393304343271,0.005343951380520773,False,False,False,False,False,False
14,0.010583119400639178,0.004977209619112485,0.005343951380520773,0.00880180227379892,0.005920259862733798,0.005501126421124326,False,False,False,False,False,False
15,0.010111594278828523,0.004715251218106565,0.0051343846597160375,0.009587677476816681,0.005710693141929062,0.0053963430607219575,False,False,False,False,False,False
16,0.009116152355006025,0.004977209619112485,0.004872426258710117,0.010635511080840362,0.005448734740923142,0.005239168020118405,False,False,False,False,False,False
17,0.008225493791585896,0.005081992979514853,0.004767642898307748,0.010425944360035626,0.005343951380520773,0.005186776339917221,False,False,False,False,False,False
18,0.00801592707078116,0.004872426258710117,0.005081992979514853,0.010059202598627338,0.0053963430607219575,0.004924817938911301,False,False,False,False,False,False
19,0.00801592707078116,0.004610467857704197,0.005448734740923142,0.009378110756011946,0.005239168020118405,0.004662859537905381,False,False,False,False,False,False
20,0.007544401948970504,0.004610467857704197,0.005710693141929062,0.009063760674804841,0.005029601299313669,0.0048200345785089325,False,False,False,False,False,False
21,0.006810918426153926,0.004872426258710117,0.005605909781526693,0.009063760674804841,0.004872426258710117,0.004977209619112485,False,False,False,False,False,False
22,0.006496568344946822,0.0051343846597160375,0.005658301461727877,0.009378110756011946,0.0048200345785089325,0.004872426258710117,False,False,False,False,False,False
23,0.006653743385550375,0.005081992979514853,0.005867868182532614,0.009640069157017865,0.004872426258710117,0.004767642898307748,False,False,False,False,False,False
24,0.006601351705349191,0.004872426258710117,0.00581547650233143,0.00995441923822497,0.004872426258710117,0.004767642898307748,False,False,False,False,False,False
25,0.00607743490333735,0.004715251218106565,0.005553518101325509,0.010216377639230891,0.0048200345785089325,0.004715251218106565,False,False,False,False,False,False
26,0.006025043223136166,0.004767642898307748,0.0053963430607219575,0.010059202598627338,0.0048200345785089325,0.004662859537905381,False,False,False,False,False,False
27,0.00607743490333735,0.004977209619112485,0.005239168020118405,0.010635511080840362,0.004767642898307748,0.0045056844973018284,False,False,False,False,False,False
28,0.005658301461727877,0.004924817938911301,0.005029601299313669,0.010530727720437994,0.0045056844973018284,0.0045056844973018284,False,False,False,False,False,False
29,0.005501126421124326,0.004558076177503013,0.005291559700319589,0.010373552679834442,0.00440090113689946,0.004453292817100644,False,False,False,False,False,False
30,0.005343951380520773,0.004453292817100644,0.005239168020118405,0.010006810918426154,0.00440090113689946,0.00440090113689946,False,False,False,False,False,False
31,0.005239168020118405,0.004662859537905381,0.0048200345785089325,0.010006810918426154,0.004610467857704197,0.0045056844973018284,False,False,False,False,False,False
32,0.005186776339917221,0.0048200345785089325,0.004715251218106565,0.00969246083721905,0.004610467857704197,0.004558076177503013,False,False,False,False,False,False
33,0.005186776339917221,0.004924817938911301,0.005186776339917221,0.010373552679834442,0.004610467857704197,0.00440090113689946,False,False,False,False,False,False
34,0.0053963430607219575,0.004610467857704197,0.005501126421124326,0.00995441923822497,0.0048200345785089325,0.00440090113689946,False,False,False,False,False,False
35,0.005186776339917221,0.00440090113689946,0.00607743490333735,0.009849635877822602,0.004977209619112485,0.00440090113689946,False,False,False,False,False,False
36,0.004977209619112485,0.004453292817100644,0.0059726515429349815,0.009325719075810762,0.004924817938911301,0.00440090113689946,False,False,False,False,False,False
37,0.005186776339917221,0.004453292817100644,0.0059726515429349815,0.008958977314402473,0.004924817938911301,0.004348509456698276,False,False,False,False,False,False
