scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,17.0,16.0,67.0,41.0,0.0,0.0,False,False,False,False,False,False
2,18.0,13.0,81.0,61.0,5.0,-2.0,False,False,False,False,False,False
3,22.0,11.0,88.0,62.0,13.0,-6.0,False,False,False,False,False,False
4,26.0,16.0,96.0,100.0,16.0,-6.0,False,False,False,False,False,False
5,26.0,20.0,100.0,90.0,21.0,-3.0,False,False,False,False,False,False
6,21.0,20.0,98.0,103.0,28.0,0.0,False,False,False,False,False,False
7,20.0,14.0,86.0,116.0,38.0,0.0,False,False,False,False,False,False
8,22.0,11.0,78.0,156.0,54.0,4.0,False,False,False,False,False,False
9,30.0,14.0,60.0,164.0,68.0,7.0,False,False,False,False,False,False
10,43.0,19.0,52.0,171.0,86.0,9.0,False,False,False,False,False,False
11,53.0,20.0,46.0,176.0,92.0,16.0,False,False,False,False,False,False
12,61.0,23.0,43.0,187.0,81.0,27.0,False,False,False,False,False,False
13,63.0,31.0,36.0,194.0,71.0,36.0,False,False,False,False,False,False
14,63.0,30.0,28.0,197.0,61.0,43.0,False,False,False,False,False,False
15,59.0,21.0,22.0,195.0,47.0,46.0,False,False,False,False,False,False
16,49.0,17.0,22.0,186.0,41.0,49.0,False,False,False,False,False,False
17,38.0,20.0,25.0,166.0,44.0,51.0,False,False,False,False,False,False
18,27.0,23.0,23.0,157.0,46.0,51.0,False,False,False,False,False,False
19,18.0,25.0,23.0,157.0,49.0,45.0,False,False,False,False,False,False
20,12.0,23.0,26.0,148.0,54.0,38.0,False,False,False,False,False,False
21,6.0,17.0,28.0,146.0,60.0,33.0,False,False,False,False,False,False
22,3.0,8.0,29.0,130.0,65.0,27.0,False,False,False,False,False,False
23,2.0,1.0,31.0,121.0,62.0,25.0,False,False,False,False,False,False
24,0.0,0.0,29.0,121.0,57.0,23.0,False,False,False,False,False,False
25,0.0,7.0,26.0,113.0,58.0,20.0,False,False,False,False,False,False
26,0.0,15.0,19.0,94.0,57.0,17.0,False,False,False,False,False,False
27,-3.0,16.0,15.0,89.0,53.0,19.0,False,False,False,False,False,False
28,-6.0,7.0,17.0,80.0,43.0,20.0,False,False,False,False,False,False
29,0.0,5.0,21.0,130.0,28.0,19.0,False,False,False,False,False,False
30,10.0,3.0,20.0,147.0,21.0,17.0,False,False,False,False,False,False
31,9.0,0.0,24.0,138.0,22.0,18.0,False,False,False,False,False,False
32,2.0,0.0,21.0,118.0,21.0,14.0,False,False,False,False,False,False
33,6.0,2.0,19.0,116.0,17.0,6.0,False,False,False,False,False,False
34,12.0,7.0,17.0,115.0,11.0,4.0,False,False,False,False,False,False
35,15.0,8.0,13.0,121.0,6.0,5.0,False,False,False,False,False,False
36,16.0,3.0,12.0,122.0,3.0,2.0,False,False,False,False,False,False
37,19.0,2.0,18.0,124.0,6.0,0.0,False,False,False,False,False,False
38,28.0,7.0,24.0,124.0,11.0,0.0,False,False,False,False,False,False
39,43.0,7.0,31.0,126.0,12.0,1.0,False,False,False,False,False,False
40,55.0,5.0,34.0,115.0,16.0,0.0,False,False,False,False,False,False
41,64.0,6.0,29.0,113.0,18.0,0.0,False,False,False,False,False,False
42,75.0,6.0,19.0,121.0,13.0,1.0,False,False,False,False,False,False
43,82.0,7.0,13.0,124.0,12.0,2.0,False,False,False,False,False,False
44,90.0,7.0,17.0,120.0,13.0,3.0,False,False,False,False,False,False
45,111.0,2.0,22.0,114.0,16.0,4.0,False,False,False,False,False,False
46,133.0,0.0,28.0,100.0,18.0,5.0,False,False,False,False,False,False
47,141.0,0.0,32.0,84.0,16.0,7.0,False,False,False,False,False,False
48,151.0,3.0,34.0,91.0,13.0,8.0,False,False,False,False,False,False
49,168.0,12.0,33.0,99.0,10.0,6.0,False,False,False,False,False,False
50,190.0,18.0,30.0,97.0,14.0,4.0,False,False,False,False,False,False
51,208.0,12.0,25.0,82.0,22.0,0.0,False,False,False,False,False,False
52,224.0,1.0,26.0,93.0,21.0,0.0,False,False,False,False,False,False
53,243.0,0.0,24.0,95.0,11.0,3.0,False,False,False,False,False,False
54,255.0,1.0,24.0,101.0,7.0,6.0,False,False,False,False,False,False
55,242.0,6.0,24.0,90.0,7.0,5.0,False,False,False,False,False,False
56,237.0,11.0,22.0,83.0,13.0,0.0,False,False,False,False,False,False
57,238.0,9.0,18.0,66.0,18.0,0.0,False,False,False,False,False,False
58,246.0,5.0,14.0,53.0,15.0,0.0,False,False,False,False,False,False
59,238.0,0.0,13.0,64.0,6.0,2.0,False,False,False,False,False,False
60,222.0,0.0,19.0,73.0,7.0,2.0,False,False,False,False,False,False
61,197.0,3.0,25.0,64.0,15.0,1.0,False,False,False,False,False,False
62,175.0,11.0,31.0,54.0,15.0,2.0,False,False,False,False,False,False
63,159.0,16.0,25.0,62.0,6.0,4.0,False,False,False,False,False,False
64,148.0,16.0,21.0,69.0,0.0,6.0,False,False,False,False,False,False
