scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,20.0,7.0,22.0,152.0,28.0,17.0,False,False,False,False,False,False
2,17.0,1.0,18.0,136.0,35.0,21.0,False,False,False,False,False,False
3,5.0,1.0,20.0,114.0,55.0,22.0,False,False,False,False,False,False
4,1.0,2.0,22.0,101.0,60.0,22.0,False,False,False,False,False,False
5,19.0,0.0,24.0,118.0,47.0,26.0,False,False,False,False,False,False
6,45.0,0.0,24.0,115.0,43.0,27.0,False,False,False,False,False,False
7,61.0,0.0,24.0,100.0,50.0,23.0,False,False,False,False,False,False
8,72.0,3.0,23.0,85.0,56.0,16.0,False,False,False,False,False,False
9,82.0,13.0,19.0,88.0,54.0,12.0,False,False,False,False,False,False
10,93.0,22.0,17.0,88.0,44.0,8.0,False,False,False,False,False,False
11,109.0,22.0,17.0,81.0,30.0,8.0,False,False,False,False,False,False
12,126.0,31.0,19.0,84.0,19.0,12.0,False,False,False,False,False,False
13,142.0,55.0,19.0,89.0,13.0,17.0,False,False,False,False,False,False
14,164.0,86.0,16.0,119.0,10.0,20.0,False,False,False,False,False,False
15,188.0,114.0,14.0,125.0,7.0,18.0,False,False,False,False,False,False
16,212.0,128.0,16.0,114.0,9.0,20.0,False,False,False,False,False,False
17,214.0,128.0,17.0,88.0,16.0,21.0,False,False,False,False,False,False
18,231.0,114.0,16.0,82.0,14.0,17.0,False,False,False,False,False,False
19,239.0,90.0,16.0,94.0,0.0,12.0,False,False,False,False,False,False
20,257.0,68.0,22.0,98.0,-7.0,11.0,False,False,False,False,False,False
21,251.0,47.0,23.0,94.0,-4.0,14.0,False,False,False,False,False,False
22,248.0,27.0,24.0,98.0,0.0,15.0,False,False,False,False,False,False
23,253.0,29.0,25.0,95.0,1.0,15.0,False,False,False,False,False,False
24,254.0,48.0,24.0,104.0,-1.0,15.0,False,False,False,False,False,False
25,243.0,62.0,22.0,115.0,0.0,13.0,False,False,False,False,False,False
26,230.0,79.0,17.0,111.0,5.0,13.0,False,False,False,False,False,False
27,218.0,93.0,13.0,104.0,10.0,12.0,False,False,False,False,False,False
28,200.0,102.0,12.0,101.0,10.0,10.0,False,False,False,False,False,False
29,187.0,114.0,13.0,117.0,9.0,10.0,False,False,False,False,False,False
30,173.0,120.0,8.0,115.0,15.0,9.0,False,False,False,False,False,False
31,163.0,111.0,12.0,98.0,27.0,7.0,False,False,False,False,False,False
32,141.0,99.0,16.0,83.0,32.0,6.0,False,False,False,False,False,False
33,117.0,100.0,17.0,95.0,33.0,5.0,False,False,False,False,False,False
34,96.0,96.0,15.0,96.0,29.0,3.0,False,False,False,False,False,False
35,86.0,84.0,18.0,99.0,19.0,6.0,False,False,False,False,False,False
36,76.0,70.0,16.0,102.0,5.0,7.0,False,False,False,False,False,False
37,66.0,55.0,16.0,102.0,8.0,5.0,False,False,False,False,False,False
38,59.0,43.0,16.0,94.0,22.0,5.0,False,False,False,False,False,False
39,54.0,34.0,17.0,79.0,37.0,7.0,False,False,False,False,False,False
40,45.0,19.0,23.0,72.0,63.0,9.0,False,False,False,False,False,False
41,35.0,9.0,24.0,68.0,87.0,6.0,False,False,False,False,False,False
42,24.0,9.0,27.0,58.0,100.0,2.0,False,False,False,False,False,False
43,21.0,5.0,31.0,52.0,102.0,2.0,False,False,False,False,False,False
44,24.0,0.0,36.0,68.0,99.0,4.0,False,False,False,False,False,False
45,18.0,5.0,37.0,65.0,93.0,5.0,False,False,False,False,False,False
46,7.0,10.0,33.0,65.0,80.0,7.0,False,False,False,False,False,False
47,5.0,4.0,30.0,59.0,70.0,8.0,False,False,False,False,False,False
48,6.0,0.0,33.0,78.0,59.0,7.0,False,False,False,False,False,False
49,5.0,0.0,30.0,79.0,49.0,5.0,False,False,False,False,False,False
50,2.0,6.0,25.0,67.0,51.0,3.0,False,False,False,False,False,False
51,0.0,10.0,21.0,60.0,50.0,3.0,False,False,False,False,False,False
52,4.0,9.0,17.0,73.0,35.0,6.0,False,False,False,False,False,False
53,5.0,6.0,14.0,85.0,23.0,4.0,False,False,False,False,False,False
54,0.0,6.0,13.0,82.0,20.0,1.0,False,False,False,False,False,False
55,0.0,4.0,14.0,74.0,22.0,0.0,False,False,False,False,False,False
56,2.0,3.0,13.0,69.0,17.0,2.0,False,False,False,False,False,False
57,0.0,5.0,13.0,71.0,7.0,3.0,False,False,False,False,False,False
58,-2.0,4.0,7.0,76.0,1.0,0.0,False,False,False,False,False,False
59,-5.0,0.0,9.0,76.0,6.0,0.0,False,False,False,False,False,False
60,-4.0,-1.0,15.0,72.0,7.0,0.0,False,False,False,False,False,False
61,0.0,-1.0,16.0,71.0,6.0,0.0,False,False,False,False,False,False
62,1.0,7.0,13.0,65.0,3.0,1.0,False,False,False,False,False,False
63,0.0,10.0,10.0,61.0,7.0,1.0,False,False,False,False,False,False
64,1.0,4.0,9.0,52.0,12.0,2.0,False,False,False,False,False,False
65,0.0,4.0,9.0,41.0,11.0,2.0,False,False,False,False,False,False
66,2.0,7.0,11.0,35.0,7.0,1.0,False,False,False,False,False,False
67,3.0,7.0,10.0,34.0,4.0,0.0,False,False,False,False,False,False
68,2.0,2.0,10.0,29.0,10.0,0.0,False,False,False,False,False,False
69,6.0,0.0,12.0,24.0,15.0,-1.0,False,False,False,False,False,False
70,10.0,3.0,11.0,29.0,13.0,0.0,False,False,False,False,False,False
71,15.0,10.0,10.0,32.0,11.0,0.0,False,False,False,False,False,False
72,17.0,13.0,10.0,31.0,12.0,0.0,False,False,False,False,False,False
73,11.0,21.0,10.0,26.0,12.0,0.0,False,False,False,False,False,False
74,8.0,34.0,8.0,25.0,6.0,0.0,False,False,False,False,False,False
75,14.0,48.0,6.0,26.0,0.0,0.0,False,False,False,False,False,False
76,12.0,59.0,4.0,27.0,0.0,3.0,False,False,False,False,False,False
77,3.0,64.0,2.0,22.0,2.0,4.0,False,False,False,False,False,False
