scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,160.0,13.0,22.0,112.0,23.0,12.0,False,False,False,False,False,False
2,166.0,12.0,21.0,120.0,22.0,11.0,False,False,False,False,False,False
3,171.0,11.0,13.0,126.0,26.0,10.0,False,False,False,False,False,False
4,169.0,11.0,6.0,108.0,28.0,10.0,False,False,False,False,False,False
5,165.0,18.0,2.0,103.0,26.0,12.0,False,False,False,False,False,False
6,158.0,23.0,3.0,98.0,23.0,15.0,False,False,False,False,False,False
7,154.0,21.0,7.0,82.0,26.0,18.0,False,False,False,False,False,False
8,155.0,13.0,13.0,67.0,30.0,20.0,False,False,False,False,False,False
9,163.0,5.0,20.0,68.0,38.0,26.0,False,False,False,False,False,False
10,153.0,6.0,13.0,79.0,43.0,30.0,False,False,False,False,False,False
11,133.0,10.0,13.0,83.0,45.0,31.0,False,False,False,False,False,False
12,116.0,7.0,20.0,63.0,34.0,35.0,False,False,False,False,False,False
13,103.0,6.0,24.0,56.0,18.0,40.0,False,False,False,False,False,False
14,92.0,13.0,17.0,61.0,6.0,43.0,False,False,False,False,False,False
15,93.0,10.0,16.0,73.0,0.0,42.0,False,False,False,False,False,False
16,88.0,6.0,15.0,76.0,2.0,35.0,False,False,False,False,False,False
17,77.0,7.0,14.0,81.0,14.0,25.0,False,False,False,False,False,False
18,61.0,8.0,14.0,76.0,19.0,18.0,False,False,False,False,False,False
19,53.0,7.0,14.0,78.0,15.0,15.0,False,False,False,False,False,False
20,46.0,4.0,16.0,70.0,15.0,12.0,False,False,False,False,False,False
21,42.0,0.0,26.0,55.0,17.0,11.0,False,False,False,False,False,False
22,39.0,-4.0,32.0,47.0,15.0,11.0,False,False,False,False,False,False
23,36.0,-1.0,28.0,56.0,13.0,11.0,False,False,False,False,False,False
24,32.0,5.0,23.0,69.0,11.0,10.0,False,False,False,False,False,False
25,27.0,13.0,18.0,80.0,10.0,9.0,False,False,False,False,False,False
26,22.0,17.0,16.0,79.0,9.0,8.0,False,False,False,False,False,False
27,19.0,11.0,16.0,71.0,10.0,6.0,False,False,False,False,False,False
28,19.0,0.0,17.0,65.0,10.0,5.0,False,False,False,False,False,False
29,19.0,-3.0,16.0,66.0,4.0,6.0,False,False,False,False,False,False
30,20.0,0.0,14.0,76.0,-1.0,7.0,False,False,False,False,False,False
31,18.0,2.0,13.0,74.0,-1.0,5.0,False,False,False,False,False,False
32,14.0,4.0,12.0,76.0,1.0,1.0,False,False,False,False,False,False
33,12.0,3.0,12.0,80.0,4.0,0.0,False,False,False,False,False,False
34,12.0,0.0,12.0,83.0,1.0,0.0,False,False,False,False,False,False
35,10.0,0.0,12.0,77.0,-3.0,2.0,False,False,False,False,False,False
36,6.0,4.0,18.0,76.0,0.0,4.0,False,False,False,False,False,False
37,4.0,5.0,20.0,69.0,9.0,3.0,False,False,False,False,False,False
38,3.0,1.0,19.0,71.0,11.0,0.0,False,False,False,False,False,False
39,1.0,0.0,20.0,73.0,11.0,0.0,False,False,False,False,False,False
40,2.0,0.0,23.0,72.0,14.0,0.0,False,False,False,False,False,False
41,3.0,3.0,15.0,66.0,8.0,1.0,False,False,False,False,False,False
42,1.0,6.0,9.0,66.0,9.0,2.0,False,False,False,False,False,False
43,0.0,4.0,13.0,57.0,17.0,0.0,False,False,False,False,False,False
44,0.0,1.0,19.0,60.0,12.0,0.0,False,False,False,False,False,False
45,-1.0,7.0,17.0,59.0,6.0,1.0,False,False,False,False,False,False
46,-3.0,13.0,13.0,60.0,7.0,4.0,False,False,False,False,False,False
47,-3.0,12.0,11.0,60.0,14.0,2.0,False,False,False,False,False,False
48,-4.0,10.0,17.0,60.0,16.0,0.0,False,False,False,False,False,False
49,-2.0,4.0,25.0,53.0,17.0,1.0,False,False,False,False,False,False
50,2.0,0.0,26.0,44.0,20.0,0.0,False,False,False,False,False,False
51,4.0,3.0,20.0,36.0,18.0,0.0,False,False,False,False,False,False
52,2.0,8.0,13.0,32.0,13.0,1.0,False,False,False,False,False,False
53,2.0,10.0,6.0,35.0,8.0,1.0,False,False,False,False,False,False
54,4.0,6.0,6.0,45.0,6.0,2.0,False,False,False,False,False,False
55,4.0,4.0,7.0,52.0,5.0,4.0,False,False,False,False,False,False
56,3.0,7.0,5.0,54.0,4.0,3.0,False,False,False,False,False,False
57,3.0,5.0,6.0,45.0,1.0,3.0,False,False,False,False,False,False
58,3.0,1.0,14.0,35.0,2.0,4.0,False,False,False,False,False,False
59,3.0,1.0,19.0,34.0,6.0,4.0,False,False,False,False,False,False
60,6.0,2.0,15.0,37.0,9.0,4.0,False,False,False,False,False,False
61,6.0,3.0,11.0,36.0,7.0,6.0,False,False,False,False,False,False
62,2.0,7.0,12.0,35.0,7.0,6.0,False,False,False,False,False,False
63,3.0,6.0,14.0,35.0,8.0,3.0,False,False,False,False,False,False
64,5.0,1.0,15.0,38.0,4.0,2.0,False,False,False,False,False,False
65,5.0,0.0,12.0,36.0,1.0,2.0,False,False,False,False,False,False
66,7.0,1.0,9.0,29.0,0.0,2.0,False,False,False,False,False,False
67,10.0,0.0,8.0,31.0,4.0,0.0,False,False,False,False,False,False
68,12.0,1.0,7.0,31.0,6.0,-1.0,False,False,False,False,False,False
69,11.0,3.0,6.0,36.0,2.0,0.0,False,False,False,False,False,False
70,6.0,6.0,2.0,38.0,1.0,0.0,False,False,False,False,False,False
71,4.0,5.0,0.0,35.0,3.0,0.0,False,False,False,False,False,False
72,7.0,1.0,4.0,26.0,5.0,0.0,False,False,False,False,False,False
73,13.0,0.0,8.0,23.0,5.0,0.0,False,False,False,False,False,False
74,19.0,1.0,2.0,24.0,9.0,0.0,False,False,False,False,False,False
75,19.0,4.0,0.0,23.0,12.0,0.0,False,False,False,False,False,False
76,11.0,7.0,0.0,22.0,5.0,0.0,False,False,False,False,False,False
77,9.0,2.0,3.0,24.0,0.0,0.0,False,False,False,False,False,False
78,13.0,-4.0,7.0,16.0,8.0,0.0,False,False,False,False,False,False
79,15.0,-2.0,8.0,20.0,15.0,0.0,False,False,False,False,False,False
80,12.0,2.0,4.0,32.0,12.0,1.0,False,False,False,False,False,False
81,8.0,5.0,0.0,48.0,4.0,5.0,False,False,False,False,False,False
82,10.0,7.0,-1.0,53.0,0.0,7.0,False,False,False,False,False,False
83,13.0,4.0,0.0,52.0,1.0,5.0,False,False,False,False,False,False
84,10.0,1.0,0.0,44.0,1.0,5.0,False,False,False,False,False,False
85,8.0,1.0,0.0,44.0,0.0,6.0,False,False,False,False,False,False
86,8.0,2.0,0.0,44.0,1.0,7.0,False,False,False,False,False,False
87,9.0,1.0,4.0,37.0,8.0,7.0,False,False,False,False,False,False
