scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,74.0,0.0,56.0,261.0,52.0,23.0,False,False,False,False,False,False
2,79.0,0.0,47.0,244.0,61.0,21.0,False,False,False,False,False,False
3,75.0,0.0,51.0,219.0,65.0,18.0,False,False,False,False,False,False
4,64.0,8.0,53.0,228.0,57.0,18.0,False,False,False,False,False,False
5,49.0,7.0,55.0,261.0,53.0,17.0,False,False,False,False,False,False
6,40.0,0.0,51.0,255.0,58.0,15.0,False,False,False,False,False,False
7,36.0,-2.0,43.0,237.0,59.0,16.0,False,False,False,False,False,False
8,33.0,0.0,38.0,226.0,58.0,17.0,False,False,False,False,False,False
9,31.0,4.0,40.0,209.0,68.0,17.0,False,False,False,False,False,False
10,27.0,8.0,49.0,183.0,82.0,23.0,False,False,False,False,False,False
11,23.0,14.0,47.0,169.0,86.0,31.0,False,False,False,False,False,False
12,25.0,18.0,39.0,160.0,79.0,41.0,False,False,False,False,False,False
13,34.0,13.0,39.0,147.0,77.0,51.0,False,False,False,False,False,False
14,46.0,7.0,48.0,144.0,80.0,61.0,False,False,False,False,False,False
15,56.0,6.0,53.0,149.0,76.0,62.0,False,False,False,False,False,False
16,73.0,9.0,52.0,149.0,66.0,57.0,False,False,False,False,False,False
17,99.0,15.0,47.0,143.0,53.0,50.0,False,False,False,False,False,False
18,125.0,16.0,41.0,151.0,45.0,44.0,False,False,False,False,False,False
19,147.0,8.0,41.0,145.0,39.0,35.0,False,False,False,False,False,False
20,158.0,9.0,40.0,151.0,32.0,25.0,False,False,False,False,False,False
21,165.0,16.0,35.0,151.0,32.0,22.0,False,False,False,False,False,False
22,180.0,13.0,37.0,149.0,33.0,21.0,False,False,False,False,False,False
23,191.0,7.0,33.0,132.0,32.0,17.0,False,False,False,False,False,False
24,206.0,1.0,30.0,142.0,27.0,17.0,False,False,False,False,False,False
25,209.0,0.0,32.0,139.0,22.0,21.0,False,False,False,False,False,False
26,222.0,6.0,43.0,125.0,16.0,23.0,False,False,False,False,False,False
27,228.0,13.0,42.0,115.0,5.0,18.0,False,False,False,False,False,False
28,235.0,9.0,37.0,139.0,0.0,12.0,False,False,False,False,False,False
29,231.0,8.0,31.0,128.0,4.0,11.0,False,False,False,False,False,False
30,241.0,4.0,39.0,133.0,8.0,12.0,False,False,False,False,False,False
31,234.0,2.0,31.0,132.0,6.0,12.0,False,False,False,False,False,False
32,247.0,1.0,26.0,148.0,8.0,10.0,False,False,False,False,False,False
33,235.0,1.0,27.0,153.0,4.0,6.0,False,False,False,False,False,False
34,219.0,8.0,35.0,164.0,4.0,4.0,False,False,False,False,False,False
35,198.0,17.0,37.0,152.0,13.0,2.0,False,False,False,False,False,False
36,182.0,19.0,37.0,138.0,19.0,2.0,False,False,False,False,False,False
37,166.0,19.0,36.0,130.0,19.0,0.0,False,False,False,False,False,False
38,141.0,11.0,38.0,135.0,11.0,0.0,False,False,False,False,False,False
39,120.0,4.0,39.0,133.0,-1.0,1.0,False,False,False,False,False,False
40,114.0,5.0,39.0,133.0,-3.0,6.0,False,False,False,False,False,False
41,100.0,13.0,43.0,125.0,0.0,6.0,False,False,False,False,False,False
42,82.0,17.0,47.0,120.0,5.0,4.0,False,False,False,False,False,False
43,71.0,15.0,41.0,118.0,8.0,4.0,False,False,False,False,False,False
44,67.0,15.0,36.0,123.0,10.0,5.0,False,False,False,False,False,False
45,65.0,15.0,35.0,124.0,12.0,5.0,False,False,False,False,False,False
46,60.0,6.0,32.0,116.0,13.0,7.0,False,False,False,False,False,False
47,53.0,4.0,25.0,103.0,12.0,13.0,False,False,False,False,False,False
48,45.0,11.0,23.0,94.0,15.0,15.0,False,False,False,False,False,False
49,29.0,12.0,26.0,86.0,16.0,14.0,False,False,False,False,False,False
50,14.0,9.0,27.0,77.0,15.0,14.0,False,False,False,False,False,False
51,13.0,4.0,25.0,68.0,19.0,13.0,False,False,False,False,False,False
52,13.0,4.0,22.0,64.0,17.0,12.0,False,False,False,False,False,False
53,5.0,11.0,24.0,69.0,5.0,9.0,False,False,False,False,False,False
54,1.0,17.0,30.0,72.0,-2.0,6.0,False,False,False,False,False,False
55,2.0,17.0,36.0,76.0,0.0,5.0,False,False,False,False,False,False
56,8.0,11.0,37.0,69.0,6.0,3.0,False,False,False,False,False,False
57,11.0,8.0,31.0,64.0,13.0,1.0,False,False,False,False,False,False
58,10.0,13.0,22.0,63.0,17.0,0.0,False,False,False,False,False,False
59,3.0,16.0,30.0,62.0,21.0,0.0,False,False,False,False,False,False
60,3.0,12.0,27.0,58.0,15.0,4.0,False,False,False,False,False,False
61,9.0,6.0,20.0,75.0,7.0,7.0,False,False,False,False,False,False
62,8.0,2.0,16.0,69.0,11.0,7.0,False,False,False,False,False,False
63,1.0,5.0,18.0,69.0,16.0,5.0,False,False,False,False,False,False
64,0.0,11.0,23.0,63.0,13.0,4.0,False,False,False,False,False,False
65,0.0,12.0,29.0,63.0,6.0,2.0,False,False,False,False,False,False
66,-6.0,11.0,26.0,72.0,0.0,0.0,False,False,False,False,False,False
67,-12.0,10.0,24.0,87.0,0.0,0.0,False,False,False,False,False,False
68,-12.0,13.0,20.0,77.0,3.0,0.0,False,False,False,False,False,False
69,-13.0,18.0,15.0,64.0,7.0,0.0,False,False,False,False,False,False
70,-8.0,16.0,15.0,70.0,15.0,1.0,False,False,False,False,False,False
71,0.0,7.0,16.0,91.0,14.0,1.0,False,False,False,False,False,False
72,0.0,0.0,17.0,91.0,5.0,0.0,False,False,False,False,False,False
73,1.0,2.0,19.0,80.0,-1.0,0.0,False,False,False,False,False,False
74,1.0,11.0,18.0,73.0,0.0,0.0,False,False,False,False,False,False
75,4.0,15.0,18.0,65.0,2.0,0.0,False,False,False,False,False,False
76,10.0,13.0,14.0,60.0,2.0,0.0,False,False,False,False,False,False
77,16.0,8.0,7.0,69.0,0.0,0.0,False,False,False,False,False,False
78,18.0,5.0,0.0,69.0,0.0,-1.0,False,False,False,False,False,False
79,14.0,12.0,-1.0,59.0,2.0,0.0,False,False,False,False,False,False
80,12.0,16.0,0.0,47.0,8.0,4.0,False,False,False,False,False,False
81,16.0,12.0,1.0,41.0,13.0,4.0,False,False,False,False,False,False
82,19.0,6.0,4.0,52.0,14.0,2.0,False,False,False,False,False,False
83,15.0,3.0,5.0,67.0,9.0,4.0,False,False,False,False,False,False
84,11.0,0.0,1.0,63.0,8.0,2.0,False,False,False,False,False,False
85,10.0,-3.0,-2.0,46.0,12.0,0.0,False,False,False,False,False,True
86,9.0,0.0,-3.0,42.0,10.0,1.0,False,False,False,False,False,True
87,11.0,5.0,0.0,50.0,9.0,5.0,False,False,False,False,False,True
88,17.0,9.0,4.0,55.0,14.0,12.0,False,False,False,False,False,True
89,14.0,13.0,2.0,55.0,15.0,18.0,False,False,False,False,False,True
90,8.0,13.0,4.0,60.0,16.0,26.0,False,False,False,False,False,True
91,5.0,9.0,11.0,60.0,19.0,44.0,False,False,False,False,False,True
92,7.0,4.0,20.0,72.0,18.0,85.0,False,False,False,False,False,True
93,10.0,1.0,24.0,74.0,20.0,154.0,False,False,False,False,False,True
94,11.0,3.0,22.0,65.0,27.0,255.0,False,False,False,False,False,True
95,15.0,5.0,28.0,58.0,29.0,405.0,False,False,False,False,False,True
96,21.0,6.0,42.0,72.0,21.0,616.0,False,False,False,False,False,True
97,22.0,5.0,50.0,73.0,20.0,869.0,False,False,False,False,False,True
98,20.0,3.0,57.0,77.0,23.0,1126.0,False,False,False,False,False,True
99,16.0,4.0,56.0,71.0,20.0,1343.0,False,False,False,False,False,True
100,15.0,5.0,48.0,61.0,10.0,1487.0,False,False,False,False,False,True
101,14.0,8.0,39.0,54.0,11.0,1536.0,False,False,False,False,False,True
102,13.0,10.0,46.0,56.0,14.0,1491.0,False,False,False,False,False,True
103,14.0,6.0,42.0,62.0,1.0,1361.0,False,False,False,False,False,True
104,14.0,4.0,30.0,57.0,-4.0,1159.0,False,False,False,False,False,True
105,13.0,4.0,27.0,50.0,0.0,922.0,False,False,False,False,False,True
106,9.0,7.0,33.0,62.0,6.0,677.0,False,False,False,False,False,True
107,8.0,15.0,31.0,68.0,9.0,477.0,False,False,False,False,False,True
108,17.0,18.0,28.0,61.0,4.0,332.0,False,False,False,False,False,True
109,22.0,16.0,23.0,58.0,0.0,227.0,False,False,False,False,False,True
