scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,250.0,78.0,10.0,132.0,110.0,62.0,False,False,False,False,False,False
2,240.0,78.0,13.0,113.0,119.0,60.0,False,False,False,False,False,False
3,256.0,73.0,11.0,96.0,116.0,64.0,False,False,False,False,False,False
4,266.0,64.0,11.0,86.0,115.0,62.0,False,False,False,False,False,False
5,258.0,69.0,12.0,70.0,115.0,55.0,False,False,False,False,False,False
6,233.0,80.0,11.0,58.0,133.0,42.0,False,False,False,False,False,False
7,219.0,87.0,15.0,70.0,128.0,32.0,False,False,False,False,False,False
8,202.0,94.0,19.0,61.0,127.0,30.0,False,False,False,False,False,False
9,184.0,91.0,23.0,46.0,113.0,35.0,False,False,False,False,False,False
10,167.0,87.0,21.0,46.0,95.0,36.0,False,False,False,False,False,False
11,181.0,85.0,23.0,46.0,55.0,31.0,False,False,False,False,False,False
12,174.0,84.0,21.0,35.0,54.0,27.0,False,False,False,False,False,False
13,163.0,86.0,18.0,22.0,48.0,26.0,False,False,False,False,False,False
14,154.0,80.0,19.0,20.0,48.0,27.0,False,False,False,False,False,False
15,150.0,68.0,24.0,20.0,50.0,26.0,False,False,False,False,False,False
16,132.0,65.0,24.0,20.0,45.0,21.0,False,False,False,False,False,False
17,110.0,63.0,27.0,24.0,33.0,17.0,False,False,False,False,False,False
18,99.0,55.0,29.0,35.0,25.0,17.0,False,False,False,False,False,False
19,98.0,54.0,27.0,45.0,21.0,18.0,False,False,False,False,False,False
20,90.0,59.0,26.0,36.0,24.0,18.0,False,False,False,False,False,False
21,73.0,49.0,33.0,14.0,29.0,14.0,False,False,False,False,False,False
22,58.0,44.0,39.0,3.0,24.0,9.0,False,False,False,False,False,False
23,56.0,52.0,33.0,6.0,15.0,9.0,False,False,False,False,False,False
24,68.0,67.0,31.0,17.0,8.0,13.0,False,False,False,False,False,False
25,64.0,69.0,35.0,26.0,6.0,13.0,False,False,False,False,False,False
26,57.0,84.0,41.0,19.0,6.0,12.0,False,False,False,False,False,False
27,57.0,82.0,37.0,6.0,4.0,9.0,False,False,False,False,False,False
28,54.0,87.0,33.0,20.0,0.0,7.0,False,False,False,False,False,False
29,39.0,77.0,30.0,30.0,-1.0,7.0,False,False,False,False,False,False
30,31.0,73.0,26.0,13.0,-7.0,7.0,False,False,False,False,False,False
31,30.0,70.0,26.0,4.0,-13.0,8.0,False,False,False,False,False,False
32,27.0,73.0,30.0,13.0,-15.0,6.0,False,False,False,False,False,False
33,19.0,71.0,26.0,18.0,-10.0,4.0,False,False,False,False,False,False
34,16.0,70.0,21.0,9.0,-3.0,2.0,False,False,False,False,False,False
